"";"Leto";"Regija";"Starost";"Spol";"Placa"
"264";2009;"Obalno-kraška";"45-54 let";"Moški";1665
"265";2009;"Obalno-kraška";"45-54 let";"Ženske";1532
"266";2009;"Obalno-kraška";"55-64 let";"Moški";1841
"267";2009;"Obalno-kraška";"55-64 let";"Ženske";1821
"268";2009;"Obalno-kraška";"65 let ali veè";"Moški";3303
"269";2010;"Pomurska";"15-24 let";"Moški";938
"270";2010;"Pomurska";"15-24 let";"Ženske";902
"271";2010;"Pomurska";"25-34 let";"Moški";1211
"272";2010;"Pomurska";"25-34 let";"Ženske";1180
"273";2010;"Pomurska";"35-44 let";"Moški";1380
"274";2010;"Pomurska";"35-44 let";"Ženske";1291
"275";2010;"Pomurska";"45-54 let";"Moški";1437
"276";2010;"Pomurska";"45-54 let";"Ženske";1425
"277";2010;"Pomurska";"55-64 let";"Moški";1614
"278";2010;"Pomurska";"55-64 let";"Ženske";1922
"279";2010;"Pomurska";"65 let ali veè";"Moški";3302
"280";2010;"Podravska";"15-24 let";"Moški";952
"281";2010;"Podravska";"15-24 let";"Ženske";918
"282";2010;"Podravska";"25-34 let";"Moški";1279
"283";2010;"Podravska";"25-34 let";"Ženske";1234
"284";2010;"Podravska";"35-44 let";"Moški";1509
"285";2010;"Podravska";"35-44 let";"Ženske";1407
"286";2010;"Podravska";"45-54 let";"Moški";1524
"287";2010;"Podravska";"45-54 let";"Ženske";1505
"288";2010;"Podravska";"55-64 let";"Moški";1782
"289";2010;"Podravska";"55-64 let";"Ženske";1891
"290";2010;"Podravska";"65 let ali veè";"Moški";4331
"291";2010;"Podravska";"65 let ali veè";"Ženske";3487
"292";2010;"Koroška";"15-24 let";"Moški";1005
"293";2010;"Koroška";"15-24 let";"Ženske";914
"294";2010;"Koroška";"25-34 let";"Moški";1253
"295";2010;"Koroška";"25-34 let";"Ženske";1183
"296";2010;"Koroška";"35-44 let";"Moški";1465
"297";2010;"Koroška";"35-44 let";"Ženske";1407
"298";2010;"Koroška";"45-54 let";"Moški";1535
"299";2010;"Koroška";"45-54 let";"Ženske";1512
"300";2010;"Koroška";"55-64 let";"Moški";1757
"301";2010;"Koroška";"55-64 let";"Ženske";1937
"302";2010;"Savinjska";"15-24 let";"Moški";969
"303";2010;"Savinjska";"15-24 let";"Ženske";944
"304";2010;"Savinjska";"25-34 let";"Moški";1297
"305";2010;"Savinjska";"25-34 let";"Ženske";1217
"306";2010;"Savinjska";"35-44 let";"Moški";1494
"307";2010;"Savinjska";"35-44 let";"Ženske";1363
"308";2010;"Savinjska";"45-54 let";"Moški";1578
"309";2010;"Savinjska";"45-54 let";"Ženske";1443
"310";2010;"Savinjska";"55-64 let";"Moški";1776
"311";2010;"Savinjska";"55-64 let";"Ženske";1860
"312";2010;"Savinjska";"65 let ali veè";"Moški";3901
"313";2010;"Zasavska";"15-24 let";"Moški";986
"314";2010;"Zasavska";"15-24 let";"Ženske";911
"315";2010;"Zasavska";"25-34 let";"Moški";1302
"316";2010;"Zasavska";"25-34 let";"Ženske";1277
"317";2010;"Zasavska";"35-44 let";"Moški";1556
"318";2010;"Zasavska";"35-44 let";"Ženske";1381
"319";2010;"Zasavska";"45-54 let";"Moški";1591
"320";2010;"Zasavska";"45-54 let";"Ženske";1435
"321";2010;"Zasavska";"55-64 let";"Moški";1748
"322";2010;"Zasavska";"55-64 let";"Ženske";1768
"323";2010;"Posavska";"15-24 let";"Moški";992
"324";2010;"Posavska";"15-24 let";"Ženske";926
"325";2010;"Posavska";"25-34 let";"Moški";1278
"326";2010;"Posavska";"25-34 let";"Ženske";1270
"327";2010;"Posavska";"35-44 let";"Moški";1456
"328";2010;"Posavska";"35-44 let";"Ženske";1368
"329";2010;"Posavska";"45-54 let";"Moški";1548
"330";2010;"Posavska";"45-54 let";"Ženske";1461
"331";2010;"Posavska";"55-64 let";"Moški";1812
"332";2010;"Posavska";"55-64 let";"Ženske";1890
"333";2010;"Jugovzhodna Slovenija";"15-24 let";"Moški";1005
"334";2010;"Jugovzhodna Slovenija";"15-24 let";"Ženske";1014
"335";2010;"Jugovzhodna Slovenija";"25-34 let";"Moški";1334
"336";2010;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1279
"337";2010;"Jugovzhodna Slovenija";"35-44 let";"Moški";1531
"338";2010;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1472
