"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"248";2019;"SLOVENIJA";"Skupaj";"15-24";1246
"249";2019;"SLOVENIJA";"Skupaj";"25-34";1564
"250";2019;"SLOVENIJA";"Skupaj";"35-44";1869
"251";2019;"SLOVENIJA";"Skupaj";"45-54";1954
"252";2019;"SLOVENIJA";"Skupaj";"55-64";2023
"253";2008;"Pomurska";"moški";"Skupaj";1252
"254";2008;"Pomurska";"moški";"15-64";1250
"255";2008;"Pomurska";"moški";"15-24";899
"256";2008;"Pomurska";"moški";"25-34";1161
"257";2008;"Pomurska";"moški";"35-44";1275
"258";2008;"Pomurska";"moški";"45-54";1327
"259";2008;"Pomurska";"moški";"55-64";1394
"260";2009;"Pomurska";"moški";"Skupaj";1321
"261";2009;"Pomurska";"moški";"15-64";1319
"262";2009;"Pomurska";"moški";"15-24";920
"263";2009;"Pomurska";"moški";"25-34";1180
"264";2009;"Pomurska";"moški";"35-44";1355
"265";2009;"Pomurska";"moški";"45-54";1416
"266";2009;"Pomurska";"moški";"55-64";1537
"267";2010;"Pomurska";"moški";"Skupaj";1355
"268";2010;"Pomurska";"moški";"15-64";1354
"269";2010;"Pomurska";"moški";"15-24";938
"270";2010;"Pomurska";"moški";"25-34";1211
"271";2010;"Pomurska";"moški";"35-44";1380
"272";2010;"Pomurska";"moški";"45-54";1437
"273";2010;"Pomurska";"moški";"55-64";1614
"274";2011;"Pomurska";"moški";"Skupaj";1410
"275";2011;"Pomurska";"moški";"15-64";1408
"276";2011;"Pomurska";"moški";"15-24";996
"277";2011;"Pomurska";"moški";"25-34";1250
"278";2011;"Pomurska";"moški";"35-44";1436
"279";2011;"Pomurska";"moški";"45-54";1489
"280";2011;"Pomurska";"moški";"55-64";1640
"281";2012;"Pomurska";"moški";"Skupaj";1428
"282";2012;"Pomurska";"moški";"15-64";1427
"283";2012;"Pomurska";"moški";"15-24";996
"284";2012;"Pomurska";"moški";"25-34";1264
"285";2012;"Pomurska";"moški";"35-44";1454
"286";2012;"Pomurska";"moški";"45-54";1510
"287";2012;"Pomurska";"moški";"55-64";1653
"288";2013;"Pomurska";"moški";"Skupaj";1421
"289";2013;"Pomurska";"moški";"15-64";1420
